Title,Summary,Genre,Feature
비밀의 숲,"공감 능력을 잃은 검사가 살인 사건을 파헤친다. 검사는 열혈 여형사의 도움을 받으며, 수사를 방해하는 부패한 정치 상황에 맞선다.",TV 드라마 범죄 한국 드라마 TV 프로그램 스릴러 TV 드라마,긴장감 넘치는
사이코지만 괜찮아,"사랑 따위, 못 느끼면 어때. 태어날 때부터 온기가 없는 동화 작가. 그녀가 사랑을 외면하는 정신 병동 보호사와 마주친다. 이상하지만 꽤 괜찮은, 힐링 로맨틱 코미디.",TV 드라마 로맨스 TV 프로그램 코미디 로맨스 한국 드라마 TV 드라마 TV 프로그램 코미디,엉뚱 기발 가슴 뭉클 풍부한 감정 로맨스
킹덤,"병든 왕을 둘러싸고 흉흉한 소문이 떠돈다. 어둠에 뒤덮인 조선, 기이한 역병에 신음하는 산하. 정체 모를 악에 맞서 백성을 구원할 희망은 오직 세자뿐이다.",웹툰 원작 한국 드라마 TV 프로그램 정치 한국 드라마 시대물 TV 프로그램 스릴러 TV 드라마 TV 프로그램 액션   어드벤처,폭력 흥미진진
슬기로운 의사생활,"탄생과 죽음이 공존하는, 인생의 축소판이라고 불리는 병원에서 특별한 하루하루를 살아가는 사람들의 이야기를 그린 드라마",한국 드라마 TV 드라마 TV 프로그램 코미디,가슴 뭉클
인간수업,"학교 안에서는 모범생, 학교 밖에서는 영리한 범죄자. 그의 비밀스러운 이중생활은 완벽했다. 같은 반 친구가 그의 위험한 사업에 관심을 갖기 전까지는.",TV 드라마 범죄 한국 드라마 TV 프로그램 10대 TV 드라마,다크
루시퍼,지긋지긋한 지옥 생활을 청산하고 은퇴를 선언한 악마. LA로 와 나이트클럽을 열고 인생을 즐기던 어느 날 강력계 형사를 만나면서 새로운 삶을 살기 시작한다.,TV 드라마 범죄 TV 프로그램 판타지 TV 프로그램 만화 원작 TV 드라마 미국 TV 프로그램,흥미진진
모범형사,"내가 직접 잡아넣은 사형수가 무죄라면? 그 억울한 누명 뒤에 사실을 은폐하려는 막강한 권력이 있다면? 그냥 조용히 묻어가는 게 상책일 것이다. 하지만 모범 형사는 달랐다. 어떤 결과가 기다리든, 정의는 바로 세워야 하기에.",TV 드라마 범죄 한국 드라마 TV 프로그램 스릴러 TV 드라마,긴장감 넘치는
사랑의 불시착,"뜻밖의 돌풍은 행운일까, 불운일까. 패러글라이딩 사고로 북한에 불시착한 재벌 딸. 그곳에서 깐깐한 북한군 장교를 만난다. 이 와중에 피어오르는 낯선 감정은 뭐지?",TV 드라마 로맨스 TV 프로그램 코미디 로맨스 한국 드라마 TV 드라마 TV 프로그램 코미디 인기 로맨스,가슴 뭉클 로맨스
이태원 클라쓰,"활력과 욕망이 넘치는 이태원. 한 전과자와 친구들이 꿈을 위해 뭉쳤다. 일단 시작은 술집 창업. 불합리한 세상, 막강한 적이 앞길을 막으면? 기를 쓰고 맞서 싸워야지!",웹툰 원작 한국 드라마 한국 드라마 사회 문제 TV 드라마 TV 드라마,감동 풍부한 감정
빨간 머리 앤,마음에 불꽃을 품은 여자아이 앤. 나이 든 오누이의 초록지붕집에 발을 들이게 된다. 커스버트 남매와 낯선 고아 소녀가 가족이 되고 성장하는 과정을 그려낸 시리즈.,도서 원작의 TV 프로그램 가족이 함께 보기 좋은 TV TV 프로그램 10대 시대물 캐나다 TV 쇼 프로그램 TV 드라마,가슴 뭉클 풍부한 감정
위쳐,"세계적인 판타지 대작이 넷플릭스 시리즈로 다시 태어난다. 어둠과 위험의 세계, 진실은 어디에 있을까. 운명으로 묶인 그들. 위쳐와 마법사, 홀로 남은 공주의 싸움이 시작된다.",TV 프로그램 판타지 도서 원작의 TV 프로그램 TV 드라마 미국 TV 프로그램 TV 프로그램 액션   어드벤처,흥미진진
"우리, 사랑했을까",나쁜데 끌려. 잘났는데 짠해. 어린데 설레. 무서운데 섹시해. 뭔 소리냐고? 되는 일 하나 없던 14년 차 싱글맘에게 4명의 남자가 나타났단 말씀. 로맨스를 기대해 보자고.,TV 드라마 로맨스 TV 프로그램 코미디 로맨스 한국 드라마 TV 드라마 TV 프로그램 코미디,가슴 뭉클 로맨스
블랙 미러,"눈부시게 발전한 첨단 기술. 하지만 인간의 어두운 본능이 그 기술을 이용하면서, 기이한 악몽이 시작된다. ‘디지털 시대의 《환상 특급》’이라 불리는 SF 시리즈.",TV 프로그램 SF 영국 TV 프로그램 TV 프로그램 스릴러 TV 드라마 사이버펑크,현실 붕괴 등골 서늘 불길한 기운 다크 긴장감 넘치는
