Title,Summary,Genre,Feature
도시괴담,"도시에 사는가? 그렇다면 도시괴담 하나 정도는 들어봤을 터. 평범한 일상에서 뭔가를 봤다는 이야기. 하지만 누구도 직접 본 적은 없다. 목격했다면 이미 이 세상 사람이 아닐지니. 볼 수 없는 것을 눈으로 확인할 기회, 지금뿐이다.","한국 드라마,한국 영화,TV 프로그램·호러,호러 영화,영화·호러·초자연","등골 서늘,무서운 이야기,다크,긴장감 넘치는"
히트맨,"암살병기로 키워진 국정원 요원. 제2의 인생을 살겠다더니 방구석에서 웹툰을 그리는 중이다. 몇 년째 악플과 생활고를 면치 못하던 어느 날, 술김에 암살요원 시절을 그리고 단숨에 1등을 찍는데! 1급 기밀을 공개한 뒷감당은 어쩌려고?","한국 영화,액션 & 어드벤처,코미디·액션,코미디,음악 & 뮤지컬,힙합","색다른 이야기,흥미진진"
정직한 후보,"뻥치시네. 입만 열면 거짓말인 구라의 달인 주상숙. 유권자를 현혹하는 그녀의 세 치 혀는 오늘도 풀가동이다. 근데 이를 어째? 갑자기 거짓말을 못 하게 된 입. 그녀 인생 최대의 위기가 찾아오고, 세상이 '참말로' 발칵 뒤집힌다.","한국 영화,코미디,정치 코미디 영화","황당한 이야기,푼수 캐릭터"
타짜: 원 아이드 잭,"도박장에서 출근 도장 찍으며 푼돈을 벌던 공시생 일출. 패기 좋게 벌인 판에서 거액의 빚을 졌다가, 정체불명의 타짜를 만나며 인생을 바꿀 찬스를 얻는다. 고수들과 한 팀으로 시작한 베팅. 카드 7장에 모든 걸 건다!","한국 영화,스릴러 영화,스릴러·범죄",위트
시동,"공부도 싫고 엄마 잔소리도 지긋지긋하다. 결국 가출 끝에 중국집 배달원이 된 고등학교 자퇴생. 심상치 않은 과거를 가진 단발머리 주방장을 만나면서 진짜 세상을 맛본다. 오토바이에 시동을 건 지금, 인생의 시동을 걸 때가 왔다.","청춘 영화,한국 영화,코미디",위트
봉오동 전투,괭이 대신 총을 들었다. 살기보다 죽기를 택했다. 일본군에게 유린당한 조국의 치욕을 끝내기 위해 무명의 전사들이 봉기한다. 독립군 최초의 승리로 기록된 모두의 전투. 그날의 뜨거운 함성이 울려 퍼진다. 실화를 바탕으로 한 작품.,"시대물,한국 영화,액션 & 어드벤처,밀리터리 액션 & 어드벤처",폭력
82년생 김지영,"한국의 평범한 30대 직장 여성 김지영. 출산과 함께 퇴사한 뒤 전업주부로 살아가던 보통의 하루, 이상한 모습을 보이기 시작한다. 친정엄마, 대학 선배 등 다른 여성으로 빙의해 말을 하는 것. 말투와 표정까지, 아주 똑같이.","영화·도서 원작,한국 영화,드라마 장르 영화,사회 이슈 드라마",풍부한 감정
남산의 부장들,"1979년 대한민국. 돌이킬 수 없을 만큼 부패한 독재 정권. 그리고 2인자로서 그 모습을 묵묵히 지켜보는 자. 누구보다도 박 대통령을 존경하고 믿었던 사람, 중앙정보부장 김규평이 방아쇠를 당긴 이유는 무엇인가.","영화·도서 원작,한국 영화,스릴러 영화",풍부한 감정
강철비,"쿠데타가 일어난 북한. 은퇴한 특수요원이 북한 1호와 함께 남한으로 탈출한다. 선전포고와 계엄령, 다가오는 전쟁의 위기. 남과 북은 중요하지 않다. 파멸을 막아야 한다!","한국 영화,액션 & 어드벤처,밀리터리 액션 & 어드벤처",흥미진진
퍼펙트 맨,"돈이 필요 없는 자와 돈이 필요한 자. 시한부 선고를 받은 로펌 대표와 7억 빚에 목숨이 간당간당한 조폭이 동행을 시작했다. 기막힌 인연의 생판 다른 두 남자. 어마어마한 간극을 제쳐 두고, 인생 반전을 향해 함께 풀악셀을 밟는다!","한국 영화,코미디,다크 코미디","색다른 이야기,가슴 뭉클,풍부한 감정"
사자,"어릴 때 아버지를 여읜 후 세상에서 등을 돌린 MMA 챔피언. 손바닥에 원인불명의 깊은 상처가 생기자 구마 사제를 찾아간다. 그리고 깨달은 건, 이 상처에 특별한 힘이 있다는 사실. 신의 사자로서 악에 맞서 싸울 때가 온 것인가.","한국 영화,액션 & 어드벤처,호러 영화","다크,풍부한 감정"
가장 보통의 연애,술에 취해 모르는 사람이랑 2시간이나 통화하며 파혼의 아픔을 쏟아낸 남자. 근데 통화 상대가 직장 동료였을 줄이야. 게다가 이 동료의 이별 현장도 목격한다. 덕분에 각자의 연애사를 알게 된 두 남녀. 어쩐지 서로에게 맘이 가는걸?,"한국 영화,로맨스 영화,코미디,로맨틱 코미디","색다른 이야기,가슴 뭉클,로맨스"
신세계,"국내 최대 범죄 조직 ‘골드문’의 후계자 선출에 개입하라! 작전 설계자 강 과장은 8년 전 조직에 심어 놓은 이자성을 조종하고, 조직 내에선 후계자 전쟁으로 칼바람이 휘몰아친다. 각자가 꿈꿨던 그들의 서로 다른 신세계는 열릴 것인가.","한국 영화,스릴러 영화,스릴러·범죄",긴장감 넘치는
천문: 하늘에 묻는다,세종이 탄 가마가 허물어진 사건. 제작 책임자 장영실이 곤장을 맞고 파직된 것으로 역사는 기록한다. 그 유명한 사건에 숨겨진 이야기. 대왕 세종과 관노 장영실이 신분을 초월해 함께 꾸었던 큰 꿈이 지금 펼쳐진다.,"영화·실화 바탕,시대물,한국 영화,드라마 장르 영화,사회 이슈 드라마","감동,풍부한 감정"
범죄도시,극악무도한 범죄를 저지르며 시민들을 공포에 빠뜨린 신흥 범죄 조직. 이들이 나쁜 놈들 한방에 때려잡는 괴물 형사의 레이더망에 딱 걸렸다. 무자비한 악당들과 정의감 넘치는 강력반 형사들의 대결. 불꽃 튀는 현실 액션의 향연이 펼쳐진다.,"한국 영화,액션 & 어드벤처,액션 & 어드벤처·범죄","감동,풍부한 감정"
미스터 주: 사라진 VIP,"중대한 VIP 경호 임무에 실패하고 부상까지 당한 정보국 요원. 눈을 뜨니 온 세상 동물이 말을 한다. 이게 말이 돼? 이왕 이렇게 된 거, VIP 수색에 동물 녀석들의 도움이나 받자. 자 그럼, 인간과 동물의 합동 수사 시작이다!","한국 영화,코미디","기분 좋아지는 시간,푼수 캐릭터"
청년경찰,"경찰대에서 동고동락하는 혈기왕성 청년 둘. 우연히 납치 사건을 목격하고 바로 신고한다. 배운 대로 잘했건만 수사는 진전 0%. 안 되겠다 싶어 둘이 직접 해결에 나서는데, 예비 경찰이 현직 경찰 노릇 하려니 이거 참 쉽지 않다!","한국 영화,액션 & 어드벤처,코미디·액션,액션 & 어드벤처·범죄,코미디","위트,흥미진진"
