Title,Summary,Genre,Feature
킹덤,"병든 왕을 둘러싸고 흉흉한 소문이 떠돈다. 어둠에 뒤덮인 조선, 기이한 역병에 신음하는 산하. 정체 모를 악에 맞서 백성을 구원할 희망은 오직 세자뿐이다.","웹툰 원작 한국 드라마,TV 프로그램·정치,한국 드라마,시대물,TV 프로그램·스릴러,TV 드라마,TV 프로그램·액션 & 어드벤처","폭력,흥미진진"
종이의 집,"1명의 천재, 8명의 공범, 철저히 준비한 세기의 강도. 스페인 조폐국에서 인질극까지 벌인 이들은 과연 포위 경찰을 따돌리고 거액의 돈과 함께 달아날 수 있을까?","스페인 TV 시리즈,TV 프로그램·스릴러","긴장감 넘치는,흥미진진"
루시퍼,지긋지긋한 지옥 생활을 청산하고 은퇴를 선언한 악마. LA로 와 나이트클럽을 열고 인생을 즐기던 어느 날 강력계 형사를 만나면서 새로운 삶을 살기 시작한다.,"TV 드라마·범죄,TV 프로그램·판타지,TV 프로그램·만화 원작,TV 드라마,미국 TV 프로그램",흥미진진
인간수업,"학교 안에서는 모범생, 학교 밖에서는 영리한 범죄자. 그의 비밀스러운 이중생활은 완벽했다. 같은 반 친구가 그의 위험한 사업에 관심을 갖기 전까지는.","TV 드라마·범죄,한국 드라마,TV 프로그램·10대,TV 드라마",다크
기묘한 이야기,"인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다.","TV 프로그램·SF,TV 프로그램·10대,TV 프로그램·스릴러,TV 프로그램·호러,미국 TV 프로그램","불길한 기운,무서운 이야기,흥미진진"
키싱 부스,"첫 키스를 해버린 엘, 그것도 학교의 인기 넘버원하고! 하지만 그는 넘봐선 안 될 사람. 그와 사랑에 빠지면 평생의 단짝을 잃게 된다. 새가슴 엘의 선택은?","미국 영화,청춘 영화,영화·도서 원작,로맨스 영화,로맨스·엉뚱하고 기발,코미디,로맨틱 코미디","엉뚱 기발,로맨스"
키싱 부스 2,"대학 입시 준비는 기본, 노아와의 장거리 연애에서 리와의 우정까지? 모든 걸 잘 해내고 싶은 엘. 그녀의 복잡한 일상에 매력 넘치는 남학생까지 등장하니, 하늘이 노랗다!","미국 영화,청춘 영화,영화·도서 원작,로맨스 영화,인기 로맨스,코미디,로맨틱 코미디","기분 좋아지는 시간,로맨스"
엄브렐러 아카데미,"초능력을 가진 남매들이 아버지의 장례식에서 다시 모인다. 그들 앞에 드러나는 가족의 비밀과 인류의 미래. 종말을 막아야 한다. 애증을 접고, 모두 손을 잡아라.","TV 프로그램·SF,TV 프로그램·만화 원작,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","현실 붕괴,색다른 이야기,엉뚱 기발"
프로젝트 파워,"소령이라 불리는 남자, 10대 소녀, 경찰. 이들이 뉴올리언스에서 얽힌다. 5분간 초능력을 발휘할 수 있는 약. 도시 전체를 혼돈에 빠트린 파워의 출처를 뒤쫓으면서.","미국 영화,액션 & 어드벤처,액션 스릴러,액션 & 어드벤처·범죄,SF & 판타지,액션 SF 및 판타지 영화,SF·스릴러","아드레날린 폭발,흥미진진"
보스 베이비: 돌아온 보스,사업의 기술을 가르쳐줄까? 회사로 형을 데려간 보스 베이비. 나이만 많았지 갈 길이 먼 형을 조련하기 시작한다. 장편 애니메이션이 원작인 시리즈. 재미는 보장한다!,"TV 프로그램·키즈,도서 원작의 TV 프로그램,가족이 함께 보기 좋은 TV,TV 프로그램·코미디,TV 만화",흥미진진
빨간 머리 앤,마음에 불꽃을 품은 여자아이 앤. 나이 든 오누이의 초록지붕집에 발을 들이게 된다. 커스버트 남매와 낯선 고아 소녀가 가족이 되고 성장하는 과정을 그려낸 시리즈.,"도서 원작의 TV 프로그램,가족이 함께 보기 좋은 TV,TV 프로그램·10대,시대물,캐나다 TV 쇼 프로그램,TV 드라마","가슴 뭉클,풍부한 감정"
올드 가드,"수백 년 동안 어둠 속에서 싸워왔다. 인류를 지키는 불멸의 전사들. 큰 잠재력을 가진 신참을 발견하지만, 그들의 놀라운 힘도 발각된다. 잡혀선 안 된다, 끝까지 싸운다!","미국 영화,영화·도서 원작,액션 & 어드벤처,액션 스릴러,어드벤처",흥미진진
